Embedding,Dataset,Model,Mean_C_Index,Std_C_Index,N_Samples,N_Features,CV_Scores
Unimodal,GBM,COXPH,0.48705066668375074,0.038748220821355275,148,100,"[0.5566037735849056, 0.4597156398104265, 0.5025380710659898, 0.45524296675191817, 0.46115288220551376]"
Unimodal,GBM,RSF,0.41318344546655733,0.07490887348337867,154,3048,"[0.46373626373626375, 0.5364238410596026, 0.36792452830188677, 0.35033259423503327, 0.3475]"
Unimodal,GBM,DEEPSURV,0.6119389083760265,0.055635669800026405,154,3048,"[0.5340659340659341, 0.5562913907284768, 0.6721698113207547, 0.6496674057649667, 0.6475]"
Unimodal,IPMN,COXPH,0.5716533011075082,0.03472602755245002,170,100,"[0.6229508196721312, 0.5994475138121547, 0.5337078651685393, 0.5380577427821522, 0.5641025641025641]"
Unimodal,IPMN,RSF,0.42243352946348234,0.06858545427123701,170,3048,"[0.3524590163934426, 0.5082872928176796, 0.43258426966292135, 0.48293963254593175, 0.33589743589743587]"
Unimodal,IPMN,DEEPSURV,0.6221185238700764,0.029868674056927166,170,3048,"[0.5901639344262295, 0.6574585635359116, 0.6067415730337079, 0.6587926509186351, 0.5974358974358974]"
Unimodal,NSCLC,COXPH,0.5037205114759501,0.028014817511488085,573,100,"[0.5006177415369409, 0.5515257628814407, 0.4641528156784917, 0.49613339777670373, 0.5061728395061729]"
Unimodal,NSCLC,RSF,0.48257339540228933,0.01729956894106718,580,3072,"[0.47786768205616376, 0.4732843757913396, 0.4631309606885322, 0.5143072289156626, 0.48427672955974843]"
Unimodal,NSCLC,DEEPSURV,0.6090975522999253,0.05064656518536886,580,3072,"[0.5837696335078534, 0.584958217270195, 0.5498953244940684, 0.6965361445783133, 0.6303284416491963]"
MedGemma,GBM,COXPH,0.5613003844869321,0.044146057298789,154,100,"[0.5456570155902004, 0.5353982300884956, 0.6483516483516484, 0.548926014319809, 0.528169014084507]"
MedGemma,GBM,RSF,0.455515014269017,0.05316219776389758,154,2560,"[0.5077951002227171, 0.497787610619469, 0.35824175824175825, 0.46539379474940334, 0.44835680751173707]"
MedGemma,GBM,DEEPSURV,0.61917363933361,0.052840398840817156,154,2560,"[0.5835189309576837, 0.7190265486725663, 0.621978021978022, 0.5704057279236276, 0.6009389671361502]"
MedGemma,IPMN,COXPH,0.5151819884340381,0.05683206503491355,156,100,"[0.5310344827586206, 0.5172413793103449, 0.4968152866242038, 0.6036036036036037, 0.4272151898734177]"
MedGemma,IPMN,RSF,0.33634464344211984,0.08023215634146465,156,2560,"[0.4413793103448276, 0.34195402298850575, 0.28343949044585987, 0.21621621621621623, 0.3987341772151899]"
MedGemma,IPMN,DEEPSURV,0.6500868532084005,0.10786886639918161,156,2560,"[0.696551724137931, 0.6379310344827587, 0.7038216560509554, 0.7627627627627628, 0.44936708860759494]"
MedGemma,NSCLC,COXPH,0.7052705927696413,0.050380106396302825,573,100,"[0.6335557202866321, 0.7878939469734867, 0.6966013396179608, 0.7220879652005799, 0.6862139917695473]"
MedGemma,NSCLC,RSF,0.32673907568960986,0.03996697521731735,573,2560,"[0.3936249073387695, 0.27613806903451726, 0.31332175638799303, 0.305703238279362, 0.3449074074074074]"
MedGemma,NSCLC,DEEPSURV,0.7425803954522021,0.03436570028495491,573,2560,"[0.6987892265875958, 0.8026513256628314, 0.7405110394443066, 0.7237796036732721, 0.7471707818930041]"
EAGLE,GBM,COXPH,0.7608319528106051,0.04068572652699022,154,64,"[0.7438752783964365, 0.7345132743362832, 0.8373626373626374, 0.7231503579952268, 0.7652582159624414]"
EAGLE,GBM,RSF,0.247650631833599,0.040151927199216175,154,64,"[0.28507795100222716, 0.2079646017699115, 0.1912087912087912, 0.2863961813842482, 0.2676056338028169]"
EAGLE,GBM,DEEPSURV,0.7778016553294824,0.04455235329875173,154,64,"[0.7260579064587973, 0.7765486725663717, 0.8461538461538461, 0.7350835322195705, 0.8051643192488263]"
EAGLE,IPMN,COXPH,0.8090071263151591,0.019267096339108256,170,64,"[0.8005464480874317, 0.8425414364640884, 0.8146067415730337, 0.7847769028871391, 0.8025641025641026]"
EAGLE,IPMN,RSF,0.1790692367759159,0.0331376149252133,170,64,"[0.17486338797814208, 0.16298342541436464, 0.12921348314606743, 0.22572178477690288, 0.20256410256410257]"
EAGLE,IPMN,DEEPSURV,0.82613621372046,0.044462950760486314,170,64,"[0.8387978142076503, 0.8646408839779005, 0.8764044943820225, 0.7585301837270341, 0.7923076923076923]"
EAGLE,NSCLC,COXPH,0.8827141421496403,0.018182879762094595,573,64,"[0.8616258957252285, 0.8656828414207104, 0.8784420739270652, 0.9047849202513292, 0.9030349794238683]"
EAGLE,NSCLC,RSF,0.10907056958360935,0.010863873494001162,573,64,"[0.12181863108475414, 0.09804902451225612, 0.12130984867278591, 0.09666505558240696, 0.10751028806584362]"
EAGLE,NSCLC,DEEPSURV,0.895978822343376,0.01261390939829683,573,64,"[0.8888065233506302, 0.8854427213606804, 0.8863805507318283, 0.9188013533107782, 0.9004629629629629]"
