Dataset,Embedding,Model,Mean_C_Index,Std_C_Index,N_Features
GBM,Unimodal,RSF,0.513845864177907,0.053006626615340106,155000
GBM,Unimodal,CoxPH,0.49305797938633517,0.05201233343066323,155000
GBM,Unimodal,DeepSurv,0.4401811862330356,0.041825430333215,155000
GBM,MedGemma,RSF,0.56464488043375,0.051263929720643135,99840
GBM,MedGemma,CoxPH,0.5892445586559393,0.021184842075929588,99840
GBM,MedGemma,DeepSurv,0.5318860764717359,0.0661600450660022,99840
GBM,EAGLE,RSF,0.5576967829705568,0.03332473040582135,64
GBM,EAGLE,CoxPH,0.574057483172821,0.07575480978738904,64
GBM,EAGLE,DeepSurv,0.555000815850968,0.06653868077087621,64
IPMN,Unimodal,RSF,0.44351596301721496,0.104597000867963,462000
IPMN,Unimodal,CoxPH,0.5287816136631843,0.03363136368467802,462000
IPMN,Unimodal,DeepSurv,0.508159775676608,0.0813406621022686,462000
IPMN,MedGemma,RSF,0.5854912570756903,0.07228269248828899,734720
IPMN,MedGemma,CoxPH,0.5491327925578539,0.11095592585807801,734720
IPMN,MedGemma,DeepSurv,0.5767238892580371,0.04398875570843779,734720
IPMN,EAGLE,RSF,0.7754463002250207,0.031795563970138066,64
IPMN,EAGLE,CoxPH,0.7399882009479777,0.07628750038751086,64
IPMN,EAGLE,DeepSurv,0.7566458940093179,0.07453279498849545,64
NSCLC,Unimodal,RSF,0.4824312757867408,0.03009537541887158,1289000
NSCLC,Unimodal,CoxPH,0.4513669527049773,0.04149798709865291,1289000
NSCLC,Unimodal,DeepSurv,0.5154801292917076,0.03250904653210839,1289000
NSCLC,MedGemma,RSF,0.6395817081882104,0.03402384864272465,3299840
NSCLC,MedGemma,CoxPH,0.5436796466381854,0.04571170635059141,3299840
NSCLC,MedGemma,DeepSurv,0.6136786899450895,0.03198828938359895,3299840
NSCLC,EAGLE,RSF,0.701554123994663,0.0637537518159802,64
NSCLC,EAGLE,CoxPH,0.7219322844330224,0.08350052524973225,64
NSCLC,EAGLE,DeepSurv,0.7215669710820497,0.07911222307887095,64
GBM,EAGLE Model,EAGLE,0.6369338968698447,0.08717676725243179,Multi-modal
IPMN,EAGLE Model,EAGLE,0.678977478580127,0.028907886089369728,Multi-modal
NSCLC,EAGLE Model,EAGLE,0.5977090402690466,0.021276117456835674,Multi-modal
